# Last modified: 07-11-2017@22:03:20
# LRG_ID	HGNC_SYMBOL	LRG_STATUS	CHROMOSOME	START	STOP	STRAND
LRG_1	COL1A1	public	17	48259457	48284000	-1
LRG_2	COL1A2	public	7	94018873	94062544	1
LRG_3	COL3A1	public	2	189834099	189879472	1
LRG_4	CRTAP	public	3	33150450	33191265	1
LRG_5	P3H1	public	1	43210006	43237755	-1
LRG_6	ATP1A2	public	1	160080548	160115381	1
LRG_7	CACNA1A	public	19	13315256	13622274	-1
LRG_8	SCN1A	public	2	166843670	166935149	-1
LRG_9	SDHD	pending	11	111952571	111992353	1
LRG_10	PPIB	public	15	64446014	64460354	-1
LRG_11	CDKN2A	public	9	21965751	21999490	-1
LRG_12	FKBP10	public	17	39963962	39981469	1
LRG_13	CALCA	public	11	14986215	14998832	-1
LRG_14	L1CAM	pending	X	153124971	153179677	-1
LRG_15	UBE3A	public	15	25580396	25689128	-1
LRG_16	ADA	public	20	43246163	43285376	-1
LRG_17	AICDA	public	12	8752762	8770442	-1
LRG_18	AIRE	public	21	45700763	45720110	1
LRG_19	XIAP	public	X	122989048	123049822	1
LRG_20	BLM	public	15	91255602	91360598	1
LRG_21	BLNK	public	10	97941455	98041326	-1
LRG_22	C1QA	public	1	22958118	22968175	1
LRG_23	C1QB	public	1	22974682	22990029	1
LRG_24	C1QC	public	1	22965118	22976603	1
LRG_25	C1S	public	12	7162980	7180336	1
LRG_26	C2	public	6	31890266	31915449	1
LRG_27	C3	public	19	6675846	6725662	-1
LRG_28	C5	public	9	123712613	123817554	-1
LRG_29	C6	public	5	41140336	41266540	-1
LRG_30	C7	public	5	40904599	40985041	1
LRG_31	C8B	public	1	57392883	57436688	-1
LRG_32	C9	public	5	39282377	39369655	-1
LRG_33	CASP10	public	2	202042855	202096110	1
LRG_34	CASP8	public	2	202093181	202154432	1
LRG_35	CD19	public	16	28938260	28952663	1
LRG_36	CD247	public	1	167397876	167492846	-1
LRG_37	CD3D	public	11	118207789	118218459	-1
LRG_38	CD3E	public	11	118170295	118188890	1
LRG_39	CD3G	public	11	118210059	118226497	1
LRG_40	CD40	public	20	44741906	44760384	1
LRG_41	CD59	public	11	33722556	33763024	-1
LRG_42	CD79A	public	19	42376190	42387439	1
LRG_43	CD79B	public	17	62004098	62014704	-1
LRG_44	CD8A	public	2	87009728	87040519	-1
LRG_45	CEBPE	public	14	23584515	23593474	-1
LRG_46	CFD	public	19	854665	865624	1
LRG_47	CFH	public	1	196616141	196718634	1
LRG_48	CFI	public	4	110659852	110728141	-1
LRG_49	CIITA	public	16	10966055	11020840	1
LRG_50	CTSC	public	11	88024760	88075941	-1
LRG_51	CXCR4	public	2	136869919	136880725	-1
LRG_52	CYBA	public	16	88707697	88722457	-1
LRG_53	CYBB	public	X	37634274	37674714	1
LRG_54	DCLRE1C	public	10	14946870	15001094	-1
LRG_55	DKC1	public	X	153986031	154007964	1
LRG_56	DNMT3B	public	20	31345191	31399162	1
LRG_57	ELANE	public	19	847291	858246	1
LRG_58	FASLG	public	1	172623185	172638013	1
LRG_59	FCGR1A	public	1	149749288	149766074	1
LRG_60	FCGR3A	public	1	161509549	161525413	-1
LRG_61	FOXN1	public	17	26845959	26867175	1
LRG_62	FOXP3	public	X	49104897	49126288	-1
LRG_63	GFI1	public	1	92938318	92957433	-1
LRG_64	HAX1	public	1	154240039	154250351	1
LRG_65	ICOS	public	2	204796503	204828300	1
LRG_66	IFNGR1	public	6	137516623	137545567	-1
LRG_67	IFNGR2	public	21	34752299	34853655	1
LRG_68	IGFBP3	pending	7	45949844	45965871	-1
LRG_69	IGLL1	public	22	23913312	23927495	-1
LRG_70	IKBKG	public	X	153765459	153795261	1
LRG_71	IL12B	public	5	158739791	158762481	-1
LRG_72	IL12RB1	public	19	18168371	18214759	-1
LRG_73	IL2RA	public	10	6051506	6109272	-1
LRG_74	IL7R	public	5	35851991	35878924	1
LRG_75	IRAK4	public	12	44147747	44185346	1
LRG_76	ITGB2	public	21	46303868	46353753	-1
LRG_77	JAK3	public	19	17934961	17963800	-1
LRG_78	LIG1	public	19	48616703	48678560	-1
LRG_79	LIG4	public	13	108857790	108872882	-1
LRG_80	LRRC8A	public	9	131639391	131682318	1
LRG_81	LAMTOR2	public	1	156019517	156030301	1
LRG_82	MASP2	pending	1	11084580	11112285	-1
LRG_83	MLPH	public	2	238390930	238464637	1
LRG_84	MPO	public	17	56345217	56363296	-1
LRG_85	MRE11	public	11	94148466	94232040	-1
LRG_86	MYO5A	public	15	52597480	52826247	-1
LRG_87	NCF1	pending	7	74183309	74205659	1
LRG_88	NCF2	public	1	183522697	183564716	-1
LRG_89	NFKBIA	public	14	35868717	35878944	-1
LRG_90	NHEJ1	public	2	219938046	220030587	-1
LRG_91	PNP	public	14	20932542	20947248	1
LRG_92	NRAS	public	1	115245078	115264515	-1
LRG_93	ORAI1	public	12	122059475	122081939	1
LRG_94	PRF1	public	10	72355104	72367531	-1
LRG_95	PTPRC	pending	1	198603225	198728330	1
LRG_96	RAB27A	public	15	55493792	55587001	-1
LRG_97	RAC2	public	22	37619310	37645305	-1
LRG_98	RAG1	public	11	36584563	36603312	1
LRG_99	RAG2	public	11	36611493	36624786	-1
LRG_100	RASGRP2	public	11	64492383	64517928	-1
LRG_101	RFX5	public	1	151311116	151324769	-1
LRG_102	RFXANK	public	19	19298008	19314678	1
LRG_103	RFXAP	public	13	37388339	37405740	1
LRG_104	SBDS	public	7	66450690	66465588	-1
LRG_105	SERPING1	public	11	57360027	57384326	1
LRG_106	SH2D1A	public	X	123475150	123509005	1
LRG_107	SLC35C1	public	11	45820623	45836567	1
LRG_108	SMARCAL1	public	2	217272137	217349776	1
LRG_109	SP110	public	2	231031634	231089827	-1
LRG_110	SPINK5	public	5	147438535	147518925	1
LRG_111	STAT1	public	2	191831762	191883976	-1
LRG_112	STAT3	public	17	40463343	40545513	-1
LRG_113	STX11	public	6	144466654	144515076	1
LRG_114	TAPBP	public	6	33265471	33286989	-1
LRG_115	TCIRG1	public	11	67801483	67820366	1
LRG_116	TCN2	public	22	30998161	31025047	1
LRG_117	TLR3	public	4	186985309	187008252	1
LRG_118	TMC6	public	17	76106999	76133488	-1
LRG_119	TMC8	public	17	76121859	76141049	1
LRG_120	TNFRSF13B	public	17	16840398	16880402	-1
LRG_121	TYK2	public	19	10459200	10496248	-1
LRG_122	UNC13D	public	17	73821338	73845798	-1
LRG_123	UNC93B1	public	11	67756575	67776593	-1
LRG_124	UNG	public	12	109530415	109550798	1
LRG_125	WAS	public	X	48537186	48551818	1
LRG_126	ZAP70	public	2	98325031	98358323	1
LRG_127	CD55	public	1	207489817	207536311	1
LRG_128	BTK	public	X	100602435	100646212	-1
LRG_129	CFP	public	X	47481612	47494704	-1
LRG_130	APC	public	5	112023218	112186936	1
LRG_131	TAZ	pending	X	153634877	153652065	1
LRG_132	ACTB	public	7	5564779	5575232	-1
LRG_133	AK2	public	1	33471586	33507492	-1
LRG_134	FAS	public	10	90745288	90777542	1
LRG_135	ATM	public	11	108088559	108241826	1
LRG_136	CFB	public	6	31908721	31921861	1
LRG_137	C4A	public	6	31944834	31972457	1
LRG_138	C4B	public	6	31977571	32005194	1
LRG_139	C8A	public	1	57315443	57385894	1
LRG_140	MS4A1	public	11	60218282	60240225	1
LRG_141	CD40LG	public	X	135725336	135744549	1
LRG_142	CD81	public	11	2393547	2420649	1
LRG_143	LYST	public	1	235822343	236051940	-1
LRG_144	CSF3R	public	1	36929644	36953509	-1
LRG_145	F12	public	5	176827141	176841577	-1
LRG_146	FPR1	public	19	52247026	52260150	-1
LRG_147	G6PC	public	17	41047815	41067386	1
LRG_148	G6PD	public	X	153757606	153780787	-1
LRG_149	CFHR1	public	1	196783861	196803319	1
LRG_150	IL2RG	public	X	70325259	70336403	-1
LRG_151	IL10RA	public	11	117852106	117874198	1
LRG_152	IL10RB	public	21	34633672	34671520	1
LRG_153	LCK	pending	1	32711840	32753766	1
LRG_154	MBL2	public	10	54523140	54536460	-1
LRG_155	CD46	public	1	207920402	207970858	1
LRG_156	MVK	public	12	110006500	110037071	1
LRG_157	MYD88	public	3	38174969	38186513	1
LRG_158	NBN	public	8	90943564	91001899	-1
LRG_159	NCF4	public	22	37252030	37276059	1
LRG_160	PIGA	public	X	15335578	15358660	-1
LRG_161	PMS2	public	7	6010870	6053737	-1
LRG_162	PRKDC	public	8	48683669	48877743	-1
LRG_163	RMRP	public	9	35655748	35663015	-1
LRG_164	STIM1	public	11	3871933	4116440	1
LRG_165	STXBP2	public	19	7696991	7714759	1
LRG_166	TAP1	pending	6	32810986	32826748	-1
LRG_167	TAP2	pending	6	32779544	32811547	-1
LRG_168	THBD	public	20	23024270	23035301	-1
LRG_169	APOL1	public	22	36644117	36665577	1
LRG_170	AP3B1	public	5	77296150	77595528	-1
LRG_171	FCN3	public	1	27693601	27706315	-1
LRG_172	PSTPIP1	public	15	77282465	77331671	1
LRG_173	TTC37	public	5	94797599	94895709	-1
LRG_174	LPIN2	public	18	2914992	3016945	-1
LRG_175	CFHR3	public	1	196738930	196765203	1
LRG_176	CHD7	public	8	61586339	61781465	1
LRG_177	NOD2	public	16	50726050	50768987	1
LRG_178	CARD9	public	9	139256408	139273133	-1
LRG_179	CLEC7A	public	12	10267376	10287868	-1
LRG_180	FERMT3	public	11	63969152	63993363	1
LRG_181	NLRP12	pending	19	54294838	54332648	-1
LRG_182	G6PC3	public	17	42143098	42155712	1
LRG_183	SLC46A1	public	17	26719661	26738228	-1
LRG_184	TNFRSF13C	public	22	42319036	42327821	-1
LRG_185	RNF168	public	3	196193654	196235639	-1
LRG_186	CSF2RA	public	X	1382693	1430828	1
LRG_187	SLC37A4	public	11	118893061	118906616	-1
LRG_188	IL1RN	public	2	113870470	113893593	1
LRG_189	ITK	public	5	156602907	156684109	1
LRG_190	MEFV	public	16	3290028	3311627	-1
LRG_191	PIK3CD	public	1	9706790	9791172	1
LRG_192	STAT5B	public	17	40349195	40433424	-1
LRG_193	TNFRSF1A	public	12	6435923	6456261	-1
LRG_194	TNFRSF11A	public	18	59987548	60055504	1
LRG_195	CORO1A	public	16	30189926	30202397	1
LRG_196	DOCK8	public	9	209865	467259	1
LRG_197	NLRP3	public	1	247574475	247614410	1
LRG_198	AGRN	public	1	950503	993492	1
LRG_199	DMD	public	X	31135345	33362726	-1
LRG_200	MSTN	public	2	190918426	190932455	-1
LRG_201	MYOT	public	5	137198545	137225540	1
LRG_202	NEB	public	2	152339853	152596001	-1
LRG_203	SGCA	public	17	48238366	48255293	1
LRG_204	SGCB	public	4	52884861	52909485	-1
LRG_205	SGCD	public	5	155292354	156196799	1
LRG_206	SGCE	pending	7	94212536	94290521	-1
LRG_207	SGCG	public	13	23750060	23901304	1
LRG_208	SGCZ	public	8	13945373	15100792	-1
LRG_209	SSPN	public	12	26269924	26454223	1
LRG_210	TCAP	public	17	37816599	37824807	1
LRG_211	TRIM32	public	9	119444581	119465579	1
LRG_212	ZMPSTE24	public	1	40718733	40761856	1
LRG_213	CFL2	public	14	35177588	35189029	-1
LRG_214	NF1	public	17	29416995	29706695	1
LRG_215	EPCAM	public	2	47567302	47616167	1
LRG_216	MLH1	public	3	37029841	37109380	1
LRG_217	MLH3	public	14	75478467	75523235	-1
LRG_218	MSH2	public	2	47625263	47791450	1
LRG_219	MSH6	public	2	48005286	48036092	1
LRG_220	MUTYH	public	1	45792914	45811142	-1
LRG_221	PMS1	public	2	190643811	190744355	1
LRG_222	PSENEN	pending	19	36231494	36239903	1
LRG_223	NCSTN	pending	1	160308063	160330742	1
LRG_224	PSEN1	pending	14	73598179	73692399	1
LRG_225	PSEN2	pending	1	227053273	227085804	1
LRG_226	TBX1	public	22	19739226	19773116	1
LRG_227	CFHR5	public	1	196941667	196980804	1
LRG_228	FADD	public	11	70044269	70055508	1
LRG_229	TRAF3	public	14	103238816	103379837	1
LRG_230	COL4A3	public	2	228024281	228181507	1
LRG_231	COL4A4	public	2	227865427	228034275	-1
LRG_232	COL4A5	pending	X	107678154	107942775	1
LRG_233	COL4A6	pending	X	107384780	107687704	-1
LRG_234	ARHGEF10	public	8	1767149	1908807	1
LRG_235	BSCL2	public	11	62455747	62482046	-1
LRG_236	CTDP1	public	18	77434801	77516507	1
LRG_237	DCTN1	public	2	74586282	74624214	-1
LRG_238	DNM2	public	19	10823755	10944579	1
LRG_239	EGR2	public	10	64569756	64684660	-1
LRG_240	FGD4	public	12	32547463	32800984	1
