# Last modified: 07-11-2017@22:04:34
# LRG_TRANSCRIPT	HGNC_SYMBOL	CHROMOSOME	STRAND	TRANSCRIPT_START	TRANSCRIPT_STOP	EXONS_COORDS	LRG_PROTEIN	CDS_START	CDS_STOP
LRG_1t1	COL1A1	17	-1	50184096	50201639	50184096-50185648,50185778-50186020,50186317-50186507,50186640-50186922,50187015-50187122,50187484-50187537,50187876-50187983,50188096-50188149,50188530-50188637,50188742-50188795,50188903-50189010,50189168-50189275,50189377-50189538,50189679-50189732,50189859-50189912,50190001-50190108,50190327-50190380,50190543-50190596,50190817-50190924,50191383-50191490,50191788-50191886,50191980-50192024,50192475-50192528,50192640-50192693,50192797-50192850,50192994-50193047,50193943-50194041,50194130-50194183,50194349-50194447,50194573-50194626,50194721-50194828,50195047-50195100,50195232-50195330,50195434-50195478,50195567-50195665,50195923-50195976,50196155-50196199,50196314-50196367,50196484-50196528,50196617-50196670,50197010-50197063,50197180-50197233,50197732-50197785,50197949-50198002,50198161-50198205,50198433-50198504,50199226-50199327,50199418-50199453,50199556-50199590,50199753-50199947,50201411-50201639	LRG_1p1	50185502	50201513
LRG_2t1	COL1A2	7	1	94394561	94431232	94394561-94395101,94397748-94397758,94398382-94398396,94399049-94399084,94400196-94400288,94401567-94401620,94404556-94404600,94404693-94404746,94404839-94404892,94405199-94405252,94405673-94405726,94406250-94406303,94407847-94407891,94408183-94408236,94408336-94408380,94408770-94408823,94409322-94409420,94409564-94409608,94409723-94409821,94410242-94410295,94410420-94410527,94410889-94410942,94411056-94411154,94412068-94412121,94412584-94412682,94413083-94413136,94413690-94413743,94413894-94413947,94414222-94414275,94415226-94415270,94416405-94416503,94417724-94417831,94418499-94418552,94419498-94419551,94420233-94420286,94420391-94420444,94420541-94420648,94421009-94421062,94421899-94421952,94422957-94423118,94424336-94424443,94425117-94425224,94425610-94425663,94425750-94425857,94425998-94426051,94426423-94426530,94427008-94427061,94427188-94427295,94427627-94427885,94428293-94428477,94429188-94429430,94430247-94431232	LRG_2p1	94395032	94430393
LRG_3t1	COL3A1	2	1	188974373	189012746	188974373-188974568,188984760-188984962,188985197-188985247,188985665-188985778,188987059-188987139,188988081-188988134,188988590-188988643,188989396-188989449,188990096-188990149,188990307-188990360,188991004-188991057,188991487-188991531,188991669-188991722,188992184-188992228,188992887-188992940,188993361-188993459,188994038-188994082,188994234-188994332,188994541-188994594,188994724-188994831,188995046-188995099,188995692-188995790,188996125-188996178,188996398-188996496,188997165-188997218,188997336-188997389,188997700-188997753,188998266-188998319,188998674-188998718,188999285-188999383,188999470-188999577,188999842-188999895,189001397-189001450,189001536-189001589,189002298-189002351,189002955-189003062,189003411-189003464,189003734-189003787,189003982-189004143,189004257-189004364,189005350-189005457,189006206-189006259,189006345-189006452,189006937-189006990,189007500-189007607,189007885-189007938,189008035-189008142,189008924-189009221,189010178-189010365,189010648-189010890,189011628-189012746	LRG_3p1	188974490	189011774
LRG_4t1	CRTAP	3	1	33113958	33147773	33113958-33114548,33120344-33120493,33124408-33124579,33129939-33130067,33132555-33132700,33134182-33134265,33142395-33147773	LRG_4p1	33114078	33142448
LRG_5t1	P3H1	1	-1	42746335	42767084	42746335-42746852,42747272-42747412,42747723-42747798,42748200-42748317,42750186-42750336,42752274-42752369,42752537-42752664,42754869-42754990,42755165-42755217,42755548-42755637,42757783-42757922,42758852-42758983,42759201-42759390,42762323-42762475,42766507-42767084	LRG_5p1	42746697	42766971
LRG_5t2	P3H1	1	-1	42746335	42767084	42746335-42746852,42747253-42747412,42747723-42747798,42748200-42748317,42750186-42750336,42752274-42752369,42752537-42752664,42754869-42754990,42755165-42755217,42755548-42755637,42757783-42757922,42758852-42758983,42759201-42759390,42762323-42762475,42766507-42767084	LRG_5p2	42746833	42766971
LRG_5t3	P3H1	1	-1	42746335	42767084	42746335-42747412,42747723-42747798,42748200-42748317,42750186-42750336,42752274-42752369,42752537-42752664,42754869-42754990,42755165-42755217,42755548-42755637,42757783-42757922,42758852-42758983,42759201-42759390,42762323-42762475,42766507-42767084	LRG_5p3	42746912	42766971
LRG_6t1	ATP1A2	1	1	160115758	160143591	160115758-160115873,160120906-160121010,160121192-160121251,160123213-160123416,160123943-160124056,160124296-160124430,160125136-160125253,160127552-160127820,160128652-160128850,160128980-160129089,160129266-160129400,160130102-160130291,160130422-160130597,160134484-160134620,160135145-160135295,160135434-160135602,160135839-160135993,160136247-160136370,160136570-160136715,160136901-160137031,160139640-160139741,160139893-160139984,160141294-160143591	LRG_6p1	160115862	160141322
LRG_7t1	CACNA1A	19	-1	13206442	13506460	13206442-13208048,13208756-13209009,13209312-13209498,13210617-13210652,13212103-13212216,13212384-13212522,13212631-13212740,13214233-13214333,13214501-13214608,13224667-13224772,13228699-13228795,13230082-13230209,13231710-13231860,13234921-13235036,13235209-13235274,13235614-13235730,13245182-13245265,13252991-13253101,13255095-13255259,13257350-13257551,13259564-13259701,13261450-13261610,13262734-13262833,13275850-13275956,13277069-13277128,13283267-13283396,13285068-13285206,13286503-13286966,13298544-13299353,13300550-13300656,13303546-13303613,13303767-13303884,13307782-13307854,13308120-13308251,13308416-13308528,13312669-13312781,13317112-13317321,13330244-13330336,13332869-13332925,13334378-13334493,13335806-13335909,13359606-13359799,13365317-13365469,13371688-13371779,13452876-13453015,13455107-13455212,13505932-13506460	LRG_7p1	13208046	13506224
LRG_8t1	SCN1A	2	-1	165989160	166073639	165989160-165992422,165994146-165994416,165996013-165996117,165998038-165998175,165999723-165999776,166002472-166002753,166009719-166009841,166012109-166012282,166013744-166013898,166015607-166015727,166036048-166036530,166037776-166038132,166039423-166039596,166041231-166041469,166042292-166042424,166043702-166044049,166045043-166045327,166046770-166046976,166047627-166047768,166048886-166048949,166051719-166051988,166052852-166052943,166054638-166054766,166056411-166056500,166058570-166058688,166073358-166073639	LRG_8p1	165991245	166073621
LRG_9t1	SDHD	11	1	112086824	112095801	112086824-112086959,112087857-112087973,112088867-112089011,112094805-112095801	LRG_9p1	112086908	112094970
LRG_10t1	PPIB	15	-1	64155815	64163155	64155815-64156145,64156725-64156909,64160104-64160197,64162041-64162154,64162852-64163155	LRG_10p1	64156023	64162986
LRG_11t1	CDKN2A	9	-1	21967752	21975133	21967752-21968242,21970902-21971208,21974678-21975133	LRG_11p1	21968229	21974827
LRG_11t2	CDKN2A	9	-1	21967752	21994491	21967752-21968242,21970902-21971208,21994139-21994491	LRG_11p2	21971003	21994331
LRG_12t1	FKBP10	17	1	41812710	41823217	41812710-41813279,41817058-41817203,41818089-41818278,41818382-41818527,41819210-41819399,41819530-41819675,41820269-41820461,41820947-41821089,41821654-41821817,41822223-41823217	LRG_12p1	41813035	41822408
LRG_13t1	CALCA	11	-1	14966669	14972286	14966669-14967101,14967674-14967854,14969935-14970075,14971107-14971201,14972221-14972286	LRG_13p1	14967695	14971192
LRG_13t2	CALCA	11	-1	14968501	14972286	14968501-14968997,14969935-14970075,14971107-14971201,14972221-14972286	LRG_13p2	14968799	14971192
LRG_14t1	L1CAM	X	-1	153861514	153876045	153861514-153862894,153863368-153863379,153863477-153863549,153863883-153864017,153864322-153864477,153864585-153864704,153864821-153864994,153865088-153865210,153865299-153865500,153865704-153865819,153866649-153866871,153867054-153867124,153867356-153867553,153867800-153867910,153867998-153868122,153868302-153868458,153868561-153868727,153868841-153868952,153869520-153869663,153869803-153869934,153870056-153870240,153870388-153870499,153870790-153870960,153871057-153871179,153872152-153872354,153872592-153872697,153873228-153873242,153875761-153876045	LRG_14p1	153862663	153875836
LRG_15t1	UBE3A	15	-1	25337249	25405506	25337249-25339257,25340085-25340228,25354353-25354426,25354528-25354683,25355892-25356056,25356691-25356896,25360383-25360527,25370566-25371812,25375465-25375763,25405461-25405506	LRG_15p1	25339137	25405462
LRG_16t1	ADA	20	-1	44619522	44651735	44619522-44619847,44620299-44620401,44621018-44621147,44622588-44622652,44622829-44622930,44623007-44623078,44624202-44624329,44625569-44625684,44626456-44626599,44629047-44629169,44636227-44636288,44651575-44651735	LRG_16p1	44619834	44651607
LRG_17t1	AICDA	12	-1	8602166	8612846	8602166-8604337,8604807-8604922,8605215-8605485,8606865-8607012,8612760-8612846	LRG_17p1	8604284	8612767
LRG_18t1	AIRE	21	1	44285880	44298219	44285880-44286138,44286557-44286731,44286978-44287133,44287517-44287591,44288345-44288458,44289657-44289802,44289988-44290068,44291095-44291210,44292302-44292401,44292993-44293175,44293789-44293910,44294401-44294503,44296383-44296445,44297656-44298219	LRG_18p1	44286007	44297727
